Dates,INJCJC Index
2005-08-12,319
2005-08-19,315
2005-08-26,318
2005-09-02,326
2005-09-09,422
2005-09-16,424
2005-09-23,359
2005-09-30,384
2005-10-07,383
2005-10-14,348
2005-10-21,324
2005-10-28,322
2005-11-04,325
2005-11-11,309
2005-11-18,324
2005-11-25,311
2005-12-02,321
2005-12-09,327
2005-12-16,312
2005-12-23,320
2005-12-30,302
2006-01-06,326
2006-01-13,285
2006-01-20,290
2006-01-27,282
2006-02-03,289
2006-02-10,298
2006-02-17,283
2006-02-24,293
2006-03-03,302
2006-03-10,307
2006-03-17,303
2006-03-24,295
2006-03-31,291
2006-04-07,299
2006-04-14,299
2006-04-21,308
2006-04-28,321
2006-05-05,347
2006-05-12,335
2006-05-19,319
2006-05-26,330
2006-06-02,307
2006-06-09,298
2006-06-16,308
2006-06-23,309
2006-06-30,316
2006-07-07,343
2006-07-14,318
2006-07-21,306
2006-07-28,311
2006-08-04,318
2006-08-11,310
2006-08-18,315
2006-08-25,314
2006-09-01,315
2006-09-08,314
2006-09-15,324
2006-09-22,319
2006-09-29,309
2006-10-06,316
2006-10-13,305
2006-10-20,313
2006-10-27,328
2006-11-03,319
2006-11-10,311
2006-11-17,326
2006-11-24,349
2006-12-01,327
2006-12-08,311
2006-12-15,318
2006-12-22,323
2006-12-29,341
2007-01-05,330
2007-01-12,296
2007-01-19,335
2007-01-26,308
2007-02-02,310
2007-02-09,338
2007-02-16,321
2007-02-23,322
2007-03-02,320
2007-03-09,308
2007-03-16,309
2007-03-23,303
2007-03-30,307
2007-04-06,332
2007-04-13,327
2007-04-20,321
2007-04-27,301
2007-05-04,300
2007-05-11,297
2007-05-18,310
2007-05-25,310
2007-06-01,313
2007-06-08,313
2007-06-15,320
2007-06-22,313
2007-06-29,317
2007-07-06,321
2007-07-13,317
2007-07-20,310
2007-07-27,305
2007-08-03,314
2007-08-10,316
2007-08-17,321
2007-08-24,329
2007-08-31,314
2007-09-07,321
2007-09-14,313
2007-09-21,302
2007-09-28,317
2007-10-05,316
2007-10-12,335
2007-10-19,334
2007-10-26,328
2007-11-02,327
2007-11-09,333
2007-11-16,332
2007-11-23,352
2007-11-30,344
2007-12-07,332
2007-12-14,350
2007-12-21,355
2007-12-28,360
2008-01-04,346
2008-01-11,322
2008-01-18,321
2008-01-25,366
2008-02-01,350
2008-02-08,344
2008-02-15,339
2008-02-22,354
2008-02-29,345
2008-03-07,348
2008-03-14,369
2008-03-21,368
2008-03-28,387
2008-04-04,354
2008-04-11,365
2008-04-18,349
2008-04-25,370
2008-05-02,370
2008-05-09,366
2008-05-16,367
2008-05-23,369
2008-05-30,362
2008-06-06,382
2008-06-13,378
2008-06-20,381
2008-06-27,392
2008-07-04,371
2008-07-11,385
2008-07-18,402
2008-07-25,434
2008-08-01,448
2008-08-08,430
2008-08-15,424
2008-08-22,421
2008-08-29,442
2008-09-05,441
2008-09-12,449
2008-09-19,483
2008-09-26,483
2008-10-03,482
2008-10-10,461
2008-10-17,478
2008-10-24,480
2008-10-31,490
2008-11-07,512
2008-11-14,536
2008-11-21,532
2008-11-28,529
2008-12-05,570
2008-12-12,566
2008-12-19,587
2008-12-26,533
2009-01-02,503
2009-01-09,551
2009-01-16,591
2009-01-23,586
2009-01-30,629
2009-02-06,637
2009-02-13,632
2009-02-20,655
2009-02-27,652
2009-03-06,660
2009-03-13,651
2009-03-20,661
2009-03-27,665
2009-04-03,653
2009-04-10,599
2009-04-17,639
2009-04-24,620
2009-05-01,602
2009-05-08,625
2009-05-15,620
2009-05-22,606
2009-05-29,607
2009-06-05,596
2009-06-12,595
2009-06-19,608
2009-06-26,594
2009-07-03,573
2009-07-10,546
2009-07-17,560
2009-07-24,587
2009-07-31,555
2009-08-07,555
2009-08-14,562
2009-08-21,560
2009-08-28,564
2009-09-04,558
2009-09-11,542
2009-09-18,536
2009-09-25,554
2009-10-02,533
2009-10-09,511
2009-10-16,531
2009-10-23,530
2009-10-30,522
2009-11-06,512
2009-11-13,507
2009-11-20,482
2009-11-27,475
2009-12-04,497
2009-12-11,498
2009-12-18,479
2009-12-25,468
2010-01-01,456
2010-01-08,469
2010-01-15,507
2010-01-22,471
2010-01-29,496
2010-02-05,466
2010-02-12,489
2010-02-19,500
2010-02-26,488
2010-03-05,472
2010-03-12,478
2010-03-19,472
2010-03-26,459
2010-04-02,479
2010-04-09,479
2010-04-16,469
2010-04-23,449
2010-04-30,451
2010-05-07,451
2010-05-14,474
2010-05-21,463
2010-05-28,458
2010-06-04,459
2010-06-11,467
2010-06-18,452
2010-06-25,464
2010-07-02,454
2010-07-09,439
2010-07-16,462
2010-07-23,465
2010-07-30,476
2010-08-06,483
2010-08-13,486
2010-08-20,464
2010-08-27,467
2010-09-03,452
2010-09-10,444
2010-09-17,459
2010-09-24,459
2010-10-01,446
2010-10-08,459
2010-10-15,444
2010-10-22,432
2010-10-29,453
2010-11-05,434
2010-11-12,432
2010-11-19,407
2010-11-26,432
2010-12-03,428
2010-12-10,425
2010-12-17,424
2010-12-24,404
2010-12-31,413
2011-01-07,434
2011-01-14,421
2011-01-21,446
2011-01-28,420
2011-02-04,402
2011-02-11,425
2011-02-18,394
2011-02-25,385
2011-03-04,414
2011-03-11,404
2011-03-18,407
2011-03-25,399
2011-04-01,395
2011-04-08,416
2011-04-15,402
2011-04-22,422
2011-04-29,468
2011-05-06,435
2011-05-13,414
2011-05-20,423
2011-05-27,418
2011-06-03,423
2011-06-10,413
2011-06-17,416
2011-06-24,421
2011-07-01,418
2011-07-08,408
2011-07-15,420
2011-07-22,411
2011-07-29,406
2011-08-05,405
2011-08-12,409
2011-08-19,415
2011-08-26,409
2011-09-02,414
2011-09-09,429
2011-09-16,422
2011-09-23,406
2011-09-30,405
2011-10-07,410
2011-10-14,395
2011-10-21,403
2011-10-28,399
2011-11-04,392
2011-11-11,383
2011-11-18,385
2011-11-25,397
2011-12-02,387
2011-12-09,368
2011-12-16,368
2011-12-23,386
2011-12-30,376
2012-01-06,391
2012-01-13,367
2012-01-20,381
2012-01-27,372
2012-02-03,368
2012-02-10,361
2012-02-17,359
2012-02-24,365
2012-03-02,375
2012-03-09,369
2012-03-16,368
2012-03-23,363
2012-03-30,358
2012-04-06,387
2012-04-13,381
2012-04-20,387
2012-04-27,372
2012-05-04,373
2012-05-11,369
2012-05-18,371
2012-05-25,381
2012-06-01,377
2012-06-08,383
2012-06-15,384
2012-06-22,380
2012-06-29,372
2012-07-06,360
2012-07-13,390
2012-07-20,368
2012-07-27,372
2012-08-03,371
2012-08-10,369
2012-08-17,376
2012-08-24,377
2012-08-31,371
2012-09-07,393
2012-09-14,392
2012-09-21,377
2012-09-28,376
2012-10-05,350
2012-10-12,386
2012-10-19,374
2012-10-26,364
2012-11-02,365
2012-11-09,446
2012-11-16,406
2012-11-23,388
2012-11-30,375
2012-12-07,340
2012-12-14,356
2012-12-21,362
2012-12-28,362
2013-01-04,363
2013-01-11,344
2013-01-18,339
2013-01-25,366
2013-02-01,361
2013-02-08,347
2013-02-15,362
2013-02-22,342
2013-03-01,340
2013-03-08,343
2013-03-15,343
2013-03-22,358
2013-03-29,375
2013-04-05,359
2013-04-12,356
2013-04-19,343
2013-04-26,331
2013-05-03,335
2013-05-10,360
2013-05-17,343
2013-05-24,353
2013-05-31,346
2013-06-07,337
2013-06-14,353
2013-06-21,347
2013-06-28,340
2013-07-05,351
2013-07-12,344
2013-07-19,355
2013-07-26,334
2013-08-02,339
2013-08-09,327
2013-08-16,340
2013-08-23,336
2013-08-30,325
2013-09-06,300
2013-09-13,323
2013-09-20,314
2013-09-27,319
