Dates,RLG Index_Last,RLG Index_Open,RLG Index_High,RLG Index_Low,RLG Index_Volume
1994-10-26,217.712,,,,
1994-10-27,218.877,,,,
1994-10-28,222.537,,,,
1994-10-31,221.796,,,,
1994-11-01,220.858,,,,
1994-11-02,220.102,,,,
1994-11-03,220.374,,,,
1994-11-04,218.151,,,,
1994-11-07,218.287,,,,
1994-11-08,220.087,,,,
1994-11-09,220.435,,,,
1994-11-10,220.374,,,,
1994-11-11,219.709,,,,
1994-11-14,221.735,,,,
1994-11-15,221.115,,,,
1994-11-16,221.357,,,,
1994-11-17,220.541,,,,
1994-11-18,220.132,,,,
1994-11-21,218.06,,,,
1994-11-22,213.508,,,,
1994-11-23,212.494,,,,
1994-11-24,212.494,,,,
1994-11-25,213.704,,,,
1994-11-28,215.096,,,,
1994-11-29,215.61,,,,
1994-11-30,214.385,,,,
1994-12-01,212.222,,,,
1994-12-02,213.946,,,,
1994-12-05,213.81,,,,
1994-12-06,213.402,,,,
1994-12-07,212.056,,,,
1994-12-08,208.895,,,,
1994-12-09,209.394,,,,
1994-12-12,210.438,,,,
1994-12-13,211.028,,,,
1994-12-14,213.75,,,,
1994-12-15,214.521,,,,
1994-12-16,215.671,,,,
1994-12-19,215.156,,,,
1994-12-20,215.035,,,,
1994-12-21,216.729,,,,
1994-12-22,216.79,,,,
1994-12-23,216.941,,,,
1994-12-26,216.941,,,,
1994-12-27,218.469,,,,
1994-12-28,217.712,,,,
1994-12-29,218.438,,,,
1994-12-30,217.501,,,,
1995-01-02,217.501,,,,
1995-01-03,216.397,,,,
1995-01-04,216.669,,,,
1995-01-05,216.245,,,,
1995-01-06,216.2,,,,
1995-01-09,216.487,,,,
1995-01-10,217.289,,,,
1995-01-11,217.637,,,,
1995-01-12,217.349,,,,
1995-01-13,219.164,,,,
1995-01-16,220.843,,,,
1995-01-17,221.448,,,,
1995-01-18,221.327,,,,
1995-01-19,220.178,,,,
1995-01-20,218.862,,,,
1995-01-23,218.847,,,,
1995-01-24,219.346,,,,
1995-01-25,219.558,,,,
1995-01-26,220.087,,,,
1995-01-27,221.509,,,,
1995-01-30,220.979,,,,
1995-01-31,221.917,,,,137826208
1995-02-01,222.083,,,,145747904
1995-02-02,223.429,,,,128058600
1995-02-03,226.197,,,,163754208
1995-02-06,228.208,,,,127483600
1995-02-07,227.83,,,,125252896
1995-02-08,228.042,,,,125570000
1995-02-09,228.208,,,,130505504
1995-02-10,228.889,,,,110079696
1995-02-13,228.677,,,,88069904
1995-02-14,228.844,,,,109755200
1995-02-15,229.66,,,,131438704
1995-02-16,229.902,,,,113764600
1995-02-17,228.193,,,,126379600
1995-02-20,228.193,,,,126379600
1995-02-21,227.982,,,,164584608
1995-02-22,229.252,,,,183012096
1995-02-23,230.583,,,,231489296
1995-02-24,230.931,,,,175866208
1995-02-27,228.768,,,,150517408
1995-02-28,230.916,,,,172322208
1995-03-01,230.583,,,,189547808
1995-03-02,230.371,,,,164810304
1995-03-03,231.158,,,,164344192
1995-03-06,231.4,,,,160347008
1995-03-07,229.615,,,,203401696
1995-03-08,229.842,,,,197176400
1995-03-09,229.917,,,,181582592
1995-03-10,232.897,,,,205339808
1995-03-13,233.366,,,,162325504
1995-03-14,235.256,,,,201254496
1995-03-15,234.697,,,,192920496
1995-03-16,236.33,,,,189874000
1995-03-17,236.497,,,,224139392
1995-03-20,237.147,,,,159007600
1995-03-21,237.117,,,,203683504
1995-03-22,237.071,,,,189718400
1995-03-23,236.769,,,,216720000
1995-03-24,239.007,,,,224056992
1995-03-27,239.96,,,,184570800
1995-03-28,240.55,,,,204309504
1995-03-29,239.355,,,,254471808
1995-03-30,238.206,,,,221843504
1995-03-31,237.207,,,,221658400
