Dates,RLV Index_Last,RLV Index_Open,RLV Index_High,RLV Index_Low,RLV Index_Volume
1994-09-20,235.492,,,,
1994-09-21,234.293,,,,
1994-09-22,233.986,,,,
1994-09-23,233.451,,,,
1994-09-26,233.872,,,,
1994-09-27,234.569,,,,
1994-09-28,236.075,,,,
1994-09-29,234.925,,,,
1994-09-30,234.989,,,,
1994-10-03,234.034,,,,
1994-10-04,230.86,,,,
1994-10-05,230.05,,,,
1994-10-06,229.726,,,,
1994-10-07,231.411,,,,
1994-10-10,232.771,,,,
1994-10-11,235.313,,,,
1994-10-12,235.103,,,,
1994-10-13,236.317,,,,
1994-10-14,237.321,,,,
1994-10-17,236.965,,,,
1994-10-18,236.544,,,,
1994-10-19,237.354,,,,
1994-10-20,235.362,,,,
1994-10-21,234.407,,,,
1994-10-24,232.026,,,,
1994-10-25,232.399,,,,
1994-10-26,232.593,,,,
1994-10-27,234.471,,,,
1994-10-28,238.131,,,,
1994-10-31,237.694,,,,
1994-11-01,234.73,,,,
1994-11-02,234.131,,,,
1994-11-03,235.249,,,,
1994-11-04,232.512,,,,
1994-11-07,232.48,,,,
1994-11-08,233.127,,,,
1994-11-09,232.399,,,,
1994-11-10,231.297,,,,
1994-11-11,230.196,,,,
1994-11-14,231.411,,,,
1994-11-15,231.459,,,,
1994-11-16,231.33,,,,
1994-11-17,230.148,,,,
1994-11-18,228.318,,,,
1994-11-21,227.006,,,,
1994-11-22,223.508,,,,
1994-11-23,224.82,,,,
1994-11-24,224.82,,,,
1994-11-25,226.18,,,,
1994-11-28,226.358,,,,
1994-11-29,226.876,,,,
1994-11-30,227.006,,,,
1994-12-01,224.593,,,,
1994-12-02,226.358,,,,
1994-12-05,226.893,,,,
1994-12-06,226.893,,,,
1994-12-07,226.115,,,,
1994-12-08,223.492,,,,
1994-12-09,224.172,,,,
1994-12-12,225.208,,,,
1994-12-13,225.662,,,,
1994-12-14,227.67,,,,
1994-12-15,227.832,,,,
1994-12-16,229.16,,,,
1994-12-19,228.884,,,,
1994-12-20,228.642,,,,
1994-12-21,229.484,,,,
1994-12-22,229.225,,,,
1994-12-23,229.775,,,,
1994-12-26,229.775,,,,
1994-12-27,230.488,,,,
1994-12-28,229.37,,,,
1994-12-29,229.662,,,,
1994-12-30,228.949,,,,
1995-01-02,228.949,,,,
1995-01-03,229.678,,,,
1995-01-04,231.103,,,,
1995-01-05,231.281,,,,
1995-01-06,232.107,,,,
1995-01-09,232.026,,,,
1995-01-10,232.026,,,,
1995-01-11,231.33,,,,
1995-01-12,231.735,,,,
1995-01-13,234.05,,,,
1995-01-16,236.253,,,,
1995-01-17,236.366,,,,
1995-01-18,235.88,,,,
1995-01-19,234.423,,,,
1995-01-20,233.516,,,,
1995-01-23,234.148,,,,
1995-01-24,234.212,,,,
1995-01-25,235.184,,,,
1995-01-26,235.119,,,,
1995-01-27,235.735,,,,
1995-01-30,234.374,,,,
1995-01-31,235.394,,,,128366800
1995-02-01,235.637,,,,147892992
1995-02-02,236.479,,,,109152704
1995-02-03,239.718,,,,171349600
1995-02-06,240.398,,,,117898600
1995-02-07,240.333,,,,110548000
1995-02-08,240.56,,,,111329032
1995-02-09,239.637,,,,111808520
1995-02-10,240.091,,,,100452704
1995-02-13,240.528,,,,90117600
1995-02-14,241.095,,,,104094096
1995-02-15,242.293,,,,133162704
1995-02-16,242.147,,,,108867696
1995-02-17,240.965,,,,118967504
1995-02-20,240.965,,,,118967504
1995-02-21,241.305,,,,124035600
1995-02-22,242.293,,,,127385600
1995-02-23,243.216,,,,147017104
1995-02-24,243.686,,,,114677104
1995-02-27,241.937,,,,103852600
1995-02-28,243.605,,,,120603296
1995-03-01,242.099,,,,143083696
1995-03-02,241.581,,,,131973904
1995-03-03,241.192,,,,119002496
1995-03-06,240.447,,,,113356200
1995-03-07,238.568,,,,134426400
1995-03-08,239.362,,,,127531296
1995-03-09,239.491,,,,117394000
1995-03-10,242.504,,,,135043104
1995-03-13,242.261,,,,100404496
1995-03-14,243.248,,,,131225104
1995-03-15,242.908,,,,116951800
1995-03-16,244.317,,,,126050600
1995-03-17,243.945,,,,162466208
1995-03-20,243.621,,,,106121800
1995-03-21,242.568,,,,150099008
1995-03-22,243.167,,,,116747000
1995-03-23,243.734,,,,110115200
1995-03-24,246.309,,,,133588496
1995-03-27,247.767,,,,103275800
1995-03-28,247.831,,,,123370648
1995-03-29,248.398,,,,163380496
1995-03-30,249.013,,,,154662096
1995-03-31,248.333,,,,130758896
1995-04-03,248.382,,,,103431104
1995-04-04,250.536,,,,132966600
1995-04-05,250.989,,,,120308096
1995-04-06,251.507,,,,133746400
1995-04-07,251.556,,,,126357904
1995-04-10,251.766,,,,100740304
1995-04-11,251.281,,,,110670400
1995-04-12,252.317,,,,140028400
1995-04-13,252.706,,,,120875800
1995-04-14,252.706,,,,120875800
1995-04-17,251.41,,,,136162304
1995-04-18,250.86,,,,134072800
1995-04-19,251.426,,,,138919808
1995-04-20,252.317,,,,138969296
1995-04-21,253.321,,,,168151600
1995-04-24,255.005,,,,118449504
1995-04-25,254.779,,,,124338000
1995-04-26,254.957,,,,119106096
1995-04-27,255.232,,,,123492096
1995-04-28,255.556,,,,118813800
1995-05-01,255.993,,,,116894600
1995-05-02,255.847,,,,103600096
1995-05-03,257.742,,,,143739200
1995-05-04,257.758,,,,158536000
1995-05-05,258.179,,,,134703696
1995-05-08,259.653,,,,121875200
1995-05-09,259.928,,,,141613792
1995-05-10,260.495,,,,155540704
1995-05-11,260.171,,,,130386800
1995-05-12,261.256,,,,134500992
1995-05-15,263.086,,,,121250496
1995-05-16,263.313,,,,146791904
1995-05-17,262.001,,,,127740000
1995-05-18,258.665,,,,124636800
1995-05-19,258.179,,,,134249696
1995-05-22,260.268,,,,109787104
1995-05-23,262.357,,,,131695296
1995-05-24,262.163,,,,144670896
1995-05-25,262.195,,,,128551104
1995-05-26,260.155,,,,102138704
1995-05-29,260.6,,,,102138704
1995-05-30,261.078,,,,100204304
1995-05-31,265.143,,,,136469104
1995-06-01,265.522,,,,138196800
1995-06-02,265.419,,,,148232400
1995-06-05,267.175,,,,138331200
