Dates,RTY Index_Last,RTY Index_Open,RTY Index_High,RTY Index_Low,RTY Index_Volume
2015-07-29,1229.6,1223.979,1232.336,1220.931,273985088
2015-07-30,1232.071,1226.042,1233.004,1220.979,281291104
2015-07-31,1238.68,1235.171,1244.98,1232.951,361102144
2015-08-03,1231.79,1238.317,1238.974,1224.873,263716608
2015-08-04,1228.847,1232.524,1237.198,1226.369,257530240
2015-08-05,1231.753,1233.716,1243.158,1229.515,292845376
2015-08-06,1215.846,1232.439,1232.769,1207.768,319707360
2015-08-07,1206.9,1209.485,1211.931,1200.41,300499456
2015-08-10,1222.672,1212.424,1223.392,1212.424,305389472
2015-08-11,1211.137,1214.136,1218.674,1205.866,270094464
2015-08-12,1208.98,1203.169,1210.981,1189.421,253474480
2015-08-13,1204.739,1208.571,1213.408,1203.644,220882416
2015-08-14,1212.688,1202.11,1212.789,1199.464,206088576
2015-08-17,1225.091,1209.241,1225.091,1206.401,218432080
2015-08-18,1214.885,1224.08,1224.122,1214.259,217617456
2015-08-19,1202.979,1208.55,1211.685,1196.66,232186240
2015-08-20,1172.523,1193.896,1193.931,1172.523,264479840
2015-08-21,1156.788,1157.998,1172.757,1152.374,395647424
2015-08-24,1111.692,1119.761,1148.576,1105.926,434991328
2015-08-25,1104.097,1133.131,1133.152,1104.051,309828032
2015-08-26,1132.188,1119.278,1132.631,1102.578,313153824
2015-08-27,1153.608,1140.923,1157.896,1133.77,333375104
2015-08-28,1162.913,1149.555,1163.047,1149.468,273991328
2015-08-31,1159.455,1161.011,1164.892,1156.367,311132032
2015-09-01,1128.052,1148.313,1151.529,1124.459,321826656
2015-09-02,1146.028,1128.052,1146.028,1128.052,263317456
2015-09-03,1145.153,1148.617,1157.629,1143.791,251279344
2015-09-04,1136.168,1132.946,1142.546,1130.752,193367616
2015-09-07,1136.168,1132.946,1142.546,1130.752,193367616
2015-09-08,1161.763,1139.066,1162.451,1139.066,246364736
2015-09-09,1148.225,1162.721,1170.205,1147.331,256761696
2015-09-10,1153.03,1147.986,1158.263,1146.471,233650272
2015-09-11,1157.792,1152.513,1157.909,1143.726,231478432
2015-09-14,1153.499,1158.031,1159.168,1151.307,203070992
2015-09-15,1165.995,1153.928,1167.281,1153.928,204687248
2015-09-16,1175.201,1166.166,1175.888,1165.411,237501360
2015-09-17,1180.693,1175.087,1193.995,1173.702,264030736
2015-09-18,1163.346,1175.342,1175.342,1160.656,902215744
2015-09-21,1161.087,1165.04,1177.956,1158.099,243512032
2015-09-22,1143.033,1158.421,1158.421,1137.698,250928368
2015-09-23,1140.052,1143.411,1149.22,1137.414,220925776
2015-09-24,1137.536,1137.879,1138.961,1124.748,276376160
2015-09-25,1122.789,1140.244,1146.719,1119.297,321476064
2015-09-28,1090.57,1121.869,1121.869,1087.473,312572288
2015-09-29,1083.907,1090.949,1098.02,1078.633,310802208
2015-09-30,1100.688,1087.075,1101.93,1087.075,381917664
2015-10-01,1097.552,1100.888,1103.696,1083.899,313195744
2015-10-02,1114.12,1095.584,1114.12,1080.606,302080864
2015-10-05,1141.637,1115.817,1142.175,1115.817,287026816
2015-10-06,1133.691,1141.434,1143.626,1127.118,289809696
2015-10-07,1152.604,1134.494,1152.608,1134.494,338754688
2015-10-08,1163.244,1152.425,1164.579,1149.297,268087216
2015-10-09,1165.356,1163.636,1168.757,1162.908,246957296
2015-10-12,1164.405,1165.452,1166.509,1159.544,207138256
2015-10-13,1147.841,1163.249,1169.711,1147.841,224739104
2015-10-14,1136.972,1147.883,1153.468,1136.058,250525792
2015-10-15,1162.771,1137.982,1162.816,1135.665,259391056
2015-10-16,1162.309,1163.587,1165.234,1152.568,295928864
2015-10-19,1164.296,1161.803,1168.916,1155.571,226290224
2015-10-20,1163.27,1164.365,1169.61,1159.076,230824704
2015-10-21,1144.948,1164.022,1167.013,1144.903,241025104
2015-10-22,1154.524,1147.088,1160.081,1145.801,276142400
2015-10-23,1166.058,1157.043,1166.421,1155.649,270394336
2015-10-26,1159.501,1166.058,1166.058,1157.517,235381008
2015-10-27,1145.291,1158.528,1158.528,1139.92,280197152
2015-10-28,1178.716,1145.481,1178.785,1145.481,320196800
2015-10-29,1165.625,1178.358,1178.358,1164.242,264470624
2015-10-30,1161.863,1165.476,1167.652,1159.655,301668224
2015-11-02,1186.091,1161.952,1187.616,1161.952,274548128
2015-11-03,1191.578,1185.784,1196.56,1182.371,291653024
2015-11-04,1190.385,1192.281,1196.136,1185.394,291185920
2015-11-05,1190.689,1190.311,1191.926,1179.743,260790592
2015-11-06,1199.747,1190.028,1199.958,1181.776,303326464
2015-11-09,1184.432,1199.578,1199.578,1180.564,266570160
2015-11-10,1187.697,1183.687,1187.72,1177.433,256133744
2015-11-11,1178.071,1188.274,1189.853,1178.062,214182368
2015-11-12,1154.809,1177.346,1177.346,1154.384,228086608
2015-11-13,1146.549,1154.094,1158.428,1144.339,239735136
2015-11-16,1156.083,1146.372,1156.215,1140.758,230822528
2015-11-17,1153.21,1156.164,1166.337,1152.494,247183520
2015-11-18,1171.75,1153.393,1172.02,1153.393,247817280
2015-11-19,1166.728,1171.696,1172.294,1164.19,211239344
2015-11-20,1175.151,1168.352,1178.738,1168.352,253446160
2015-11-23,1180.359,1174.887,1184.415,1173.749,225962768
2015-11-24,1188.814,1179.228,1189.658,1172.879,227926656
2015-11-25,1198.015,1188.899,1198.53,1188.514,186073072
2015-11-26,1198.015,1188.899,1198.53,1188.514,186073072
2015-11-27,1202.375,1197.907,1203.69,1195.837,111612944
2015-11-30,1198.111,1202.771,1204.873,1197.196,337576032
2015-12-01,1204.159,1198.932,1204.402,1195.685,251598976
2015-12-02,1191.686,1203.894,1205.079,1190.855,232428976
2015-12-03,1170.566,1192.703,1196.684,1168.148,253318864
2015-12-04,1183.397,1170.642,1183.823,1170.492,246939040
2015-12-07,1164.296,1183.07,1183.07,1161.58,257938336
2015-12-08,1159.397,1162.254,1163.731,1151.267,233073184
2015-12-09,1145.872,1158.977,1165.555,1142.747,234144304
2015-12-10,1149.023,1145.66,1154.841,1144.027,234996176
2015-12-11,1123.608,1146.231,1146.231,1121.273,272812192
2015-12-14,1115.858,1123.629,1126.495,1108.761,275931040
2015-12-15,1131.552,1117.024,1133.324,1117.024,250178928
2015-12-16,1148.974,1133.822,1150.269,1133.822,256375296
2015-12-17,1135.361,1149.207,1151.402,1135.348,250161536
2015-12-18,1121.02,1134.954,1134.954,1120.467,1141883776
2015-12-21,1127.742,1122.161,1130.396,1120.614,243059440
2015-12-22,1137.686,1128.477,1138.651,1123.667,218244400
2015-12-23,1152.817,1139.038,1152.914,1139.038,218531968
2015-12-24,1154.757,1152.748,1159.705,1151.605,115051312
2015-12-25,1154.757,1152.748,1159.705,1151.605,115051312
2015-12-28,1148.213,1153.985,1153.985,1140.022,197597824
2015-12-29,1160.522,1148.955,1160.942,1148.736,177379440
2015-12-30,1149.643,1159.967,1160.382,1149.163,179452352
2015-12-31,1135.889,1149.325,1149.325,1135.571,281343040
2016-01-01,1135.889,1149.325,1149.325,1135.571,281343040
2016-01-04,1108.624,1134.078,1134.078,1100.529,325624832
2016-01-05,1110.439,1109.1,1112.668,1104.751,236612336
2016-01-06,1094.366,1109.457,1109.457,1088.767,266735856
2016-01-07,1064.566,1090.945,1090.945,1063.84,321604768
2016-01-08,1046.202,1065.852,1072.091,1045.107,341209760
2016-01-11,1041.896,1046.637,1052.594,1031.672,298977600
2016-01-12,1044.697,1044.977,1056.921,1028.141,335975904
2016-01-13,1010.187,1045.736,1050.657,1005.688,367104832
2016-01-14,1025.667,1010.638,1033.578,999.616,334192192
2016-01-15,1007.725,1023.922,1023.922,983.984,398154048
2016-01-18,1007.725,1023.922,1023.922,983.984,398154048
2016-01-19,994.869,1010.304,1017.831,985.22,318017824
2016-01-20,999.315,991.793,1008.682,958.484,393707040
2016-01-21,997.342,999.526,1014.503,992.123,328435744
2016-01-22,1020.66,999.806,1021.84,999.806,324930816
2016-01-25,997.373,1019.431,1019.431,996.045,274600160
2016-01-26,1017.974,997.373,1019.509,997.373,291728512
2016-01-27,1002.747,1016.899,1021.849,998.806,290969152
2016-01-28,1003.273,1004.149,1014.482,1000.376,278902528
2016-01-29,1035.381,1003.516,1035.381,1003.516,436482368
2016-02-01,1032.388,1033.529,1037.269,1020.592,275983296
2016-02-02,1008.835,1030.562,1030.562,1005.397,277705408
2016-02-03,1010.298,1009.503,1016.919,989.25,293119040
2016-02-04,1014.789,1009.935,1025.105,1008.588,288766592
2016-02-05,985.618,1014.311,1014.311,985.618,353539488
2016-02-08,969.338,982.152,982.152,955.707,351902688
2016-02-09,963.895,967.847,975.137,957.086,287014656
2016-02-10,963.481,965.517,983.45,963.321,279564512
2016-02-11,953.715,958.891,958.891,943.097,310227744
2016-02-12,971.99,955.345,972.868,955.345,300536352
2016-02-15,971.99,955.345,972.868,955.345,300536352
2016-02-16,995.802,972.448,996.387,972.448,292669920
2016-02-17,1011.133,997.827,1016.278,997.827,354148992
2016-02-18,1004.706,1011.979,1013.6,1002.41,279270272
2016-02-19,1010.011,1003.719,1010.724,998.273,282866304
2016-02-22,1021.736,1010.394,1025.279,1010.394,269973184
2016-02-23,1012.151,1021.255,1021.255,1012.151,261614512
2016-02-24,1022.077,1010.095,1023.061,996.703,280430624
2016-02-25,1031.576,1022.958,1031.576,1020.458,264628144
2016-02-26,1037.183,1031.586,1039.709,1031.586,295778080
2016-02-29,1033.901,1037.211,1044.912,1033.667,399829024
2016-03-01,1054.494,1035.52,1054.494,1035.52,335627840
2016-03-02,1065.673,1054.24,1065.676,1052.154,301020320
2016-03-03,1076.048,1065.638,1076.087,1064.603,321479040
2016-03-04,1081.935,1076.339,1088.237,1073.824,347173248
2016-03-07,1094.146,1081.277,1094.504,1077.936,332434624
2016-03-08,1067.878,1092.711,1092.711,1067.239,304394016
2016-03-09,1072.765,1068.448,1074.203,1067.135,259570704
2016-03-10,1063.989,1073.413,1078.983,1054.562,267422400
2016-03-11,1087.557,1066.107,1087.87,1066.107,264934912
2016-03-14,1084.25,1086.969,1087.456,1079.897,236895040
2016-03-15,1066.666,1082.683,1082.683,1065.511,236419728
2016-03-16,1074.511,1066.076,1076.512,1063.664,231321104
2016-03-17,1091.253,1074.4,1094.692,1069.892,276719104
