Dates,SPX Index_Last,SPX Index_Open,SPX Index_High,SPX Index_Low,SPX Index_Volume
2000-07-19,1481.96,1493.74,1495.63,1479.92,1026596416
2000-07-20,1495.57,1481.96,1501.92,1481.96,1246865024
2000-07-21,1480.19,1495.57,1495.57,1477.91,1089414144
2000-07-24,1464.29,1480.19,1485.88,1463.8,980637184
2000-07-25,1474.47,1464.29,1476.23,1464.29,1014444416
2000-07-26,1452.42,1474.47,1474.47,1452.42,1265715328
2000-07-27,1449.62,1452.42,1464.91,1445.33,1205513856
2000-07-28,1419.89,1449.62,1456.68,1413.89,1174973696
2000-07-31,1430.83,1419.89,1437.65,1418.71,1080010880
2000-08-01,1438.1,1430.83,1443.54,1428.96,969717376
2000-08-02,1438.7,1438.1,1451.59,1433.49,1055759424
2000-08-03,1452.56,1438.7,1454.19,1425.43,1224878976
2000-08-04,1462.93,1452.56,1462.93,1451.31,1073098112
2000-08-07,1479.32,1462.93,1480.8,1460.72,974585792
2000-08-08,1482.8,1479.32,1484.4,1472.53,1114575488
2000-08-09,1472.87,1482.8,1490.37,1471.32,1165853440
2000-08-10,1460.25,1472.87,1475.19,1459.85,990366080
2000-08-11,1471.84,1460.25,1475.72,1453.06,959088704
2000-08-14,1491.56,1471.84,1491.64,1468.56,877678720
2000-08-15,1484.43,1491.56,1493.12,1482.74,994646912
2000-08-16,1479.85,1484.43,1496.09,1475.74,984745024
2000-08-17,1496.07,1479.85,1499.32,1479.85,995431808
2000-08-18,1491.72,1496.07,1499.47,1488.99,968315520
2000-08-21,1499.48,1491.72,1502.84,1491.13,819123584
2000-08-22,1498.13,1499.48,1508.45,1497.42,930664832
2000-08-23,1505.97,1498.13,1507.2,1489.52,958204224
2000-08-24,1508.31,1505.97,1511.16,1501.25,910664896
2000-08-25,1506.45,1508.31,1513.47,1505.09,713345728
2000-08-28,1514.09,1506.45,1523.95,1506.45,848195008
2000-08-29,1509.84,1514.09,1514.89,1505.48,910108096
2000-08-30,1502.59,1509.84,1510.49,1500.09,914338176
2000-08-31,1517.68,1502.59,1525.21,1502.59,1232419968
2000-09-01,1520.77,1517.68,1530.09,1515.53,851723200
2000-09-04,1520.77,1517.68,1530.09,1515.53,851723200
2000-09-05,1507.08,1520.77,1520.77,1503.75,994677696
2000-09-06,1492.25,1507.08,1512.61,1492.12,1218255488
2000-09-07,1502.51,1492.25,1505.34,1492.25,1128025344
2000-09-08,1494.5,1502.51,1502.51,1489.88,1107065984
2000-09-11,1489.26,1494.5,1506.76,1483.01,1063036672
2000-09-12,1481.99,1489.26,1496.93,1479.67,1181945856
2000-09-13,1484.91,1481.99,1487.45,1473.61,1317990144
2000-09-14,1480.87,1484.91,1494.16,1476.73,1257761152
2000-09-15,1465.81,1480.87,1480.96,1460.22,1583122560
2000-09-18,1444.51,1465.81,1467.77,1441.92,1201062272
2000-09-19,1459.9,1444.51,1461.16,1444.51,1216155904
