Dates,MID Index_Last,MID Index_Open,MID Index_High,MID Index_Low,MID Index_Volume
2012-07-19,950.04,949.39,953.77,946.59,119462248
2012-07-20,939.71,949.93,949.93,939.56,171106128
2012-07-23,927.81,939.68,939.68,919.2,103048984
2012-07-24,914.97,927.84,928.26,909.43,130812720
2012-07-25,916.16,915.16,921.31,912.05,134020080
2012-07-26,929.55,916.34,933.05,916.34,139712064
2012-07-27,949.15,929.59,952.37,929.59,129066416
2012-07-30,946.69,949.15,952.87,943.49,105091824
2012-07-31,940.48,946.65,948.46,940.03,135340736
2012-08-01,931.75,940.49,945.22,931.78,137726368
2012-08-02,926.19,931.62,932.57,919.83,130103456
2012-08-03,944.68,926.49,947.73,926.49,107619104
2012-08-06,949.37,944.77,952.7,944.77,98231432
2012-08-07,958.75,949.47,963.48,949.47,119195400
2012-08-08,959.26,958.68,961.25,955.86,101491448
2012-08-09,961.37,959.2,964.22,958.65,90561280
2012-08-10,961.96,961.28,962.27,955.42,81710616
2012-08-13,959.83,961.96,961.96,952.47,74668896
2012-08-14,958.09,959.83,964.34,955.94,88542736
2012-08-15,964.05,957.81,964.2,956.75,78765352
2012-08-16,973.1,964.11,974.41,962.78,88358576
2012-08-17,977.85,973.12,978.04,972.85,86369824
2012-08-20,974.24,977.76,977.76,970.7,83548744
2012-08-21,975.85,974.35,983.52,973.33,96430864
2012-08-22,973.92,975.67,976.23,969.44,86156096
2012-08-23,967.12,973.92,973.92,964.96,91369976
2012-08-24,970.16,966.9,972.37,963.53,77183712
2012-08-27,969.35,970.16,973.57,968.07,74601032
2012-08-28,973.31,969.35,975.29,967.37,77078304
2012-08-29,974.53,973.36,976.35,970.42,70711896
2012-08-30,966.66,970.85,970.85,962.63,74694616
2012-08-31,971.55,967.13,973.76,962.54,100290952
2012-09-03,971.55,967.13,973.76,962.54,100290952
2012-09-04,982.34,971.55,984.17,965.35,104897680
2012-09-05,980.67,982.33,983.36,977.73,106234896
2012-09-06,999.63,981,1001.63,981,113926752
2012-09-07,1004.6,999.65,1007.19,999.65,88723664
2012-09-10,1000.44,1004.57,1005.7,1000.09,85327792
2012-09-11,1001.67,1000.67,1004.37,999.88,87895576
2012-09-12,1005.1,1001.76,1005.71,1000.59,87349688
2012-09-13,1015.35,1005.08,1018.58,1001.17,112907128
2012-09-14,1026.85,1015.36,1030,1015.36,105943008
2012-09-17,1015.75,1026.77,1026.77,1015.33,95589688
2012-09-18,1009.39,1015.7,1015.7,1008.21,98429552
2012-09-19,1012.7,1009.39,1014.51,1008.59,84648400
2012-09-20,1006.06,1012.68,1012.68,1001.02,95692160
2012-09-21,1006.04,1008.32,1013.91,1005.88,278386272
2012-09-24,1003.61,1005.83,1007.14,1001.16,95777120
2012-09-25,987.96,1003.96,1007.48,987.96,111411128
2012-09-26,981.35,988.01,989.14,977.52,102527104
2012-09-27,992.14,981.41,993.87,981.41,96206936
2012-09-28,989.02,991.95,992.04,983.67,139290768
2012-10-01,984.19,989.11,993.28,977.71,136826480
2012-10-02,987.57,984.53,988.37,983.46,95746176
2012-10-03,987.81,987.81,992.08,983.95,106353816
2012-10-04,996.14,987.84,996.15,987.17,117105144
2012-10-05,996.36,996.17,1004.86,994.39,94926120
2012-10-08,992.94,996.36,996.36,990.93,77696240
2012-10-09,982.83,992.94,993.42,982.04,95891984
2012-10-10,978.3,982.83,983.74,976.47,89744768
2012-10-11,982.81,978.73,988.64,978.73,99985040
2012-10-12,975.61,982.82,983.7,973.85,92645936
2012-10-15,983.85,975.7,983.97,973.47,86067672
2012-10-16,994.19,983.85,994.5,983.85,94101880
2012-10-17,1001.8,994.25,1004.05,993.46,109041504
2012-10-18,1001.24,1001.71,1003.71,997.27,108321048
2012-10-19,987.4,1001.24,1001.24,984.49,130781680
2012-10-22,985.47,987.4,988,979.42,97621272
2012-10-23,979,984.81,984.81,967.39,103532072
2012-10-24,975.85,979.82,983.35,974.32,116447152
2012-10-25,977.48,975.85,983.43,970.37,121118512
2012-10-26,974.74,977.51,980.19,968.31,108683432
2012-10-29,974.74,977.51,980.19,968.31,108683432
2012-10-30,974.74,977.51,980.19,968.31,108683432
2012-10-31,980.45,974.74,980.45,973.32,130136192
2012-11-01,1003.57,980.43,1003.57,978.8,153085136
2012-11-02,987.8,1004.1,1005.62,987.8,136885920
2012-11-05,993.38,987.8,994.31,984.9,92812624
2012-11-06,1002.91,993.38,1004.54,993.38,106184896
2012-11-07,981.31,1002.69,1002.69,977.24,133603496
2012-11-08,968.45,981.55,982.58,968.44,108222632
2012-11-09,969.82,968.45,976.78,964.72,107859432
2012-11-12,968.82,969.9,972.11,967.71,48267216
2012-11-13,966.28,968.81,973.79,962.94,92219728
2012-11-14,949.7,966.37,969.26,948.08,109120728
2012-11-15,945.96,949.68,953.01,940.92,113094912
2012-11-16,952.93,945.97,953.39,941.24,114645848
2012-11-19,971.49,952.94,971.54,952.94,98307392
2012-11-20,974.86,971.49,975.39,968.32,93940880
2012-11-21,978.6,974.86,978.69,973.44,68732208
2012-11-22,978.6,974.86,978.69,973.44,68732208
2012-11-23,989.89,978.64,989.94,978.64,38819872
2012-11-26,988.48,989.77,990.13,983.37,92276624
2012-11-27,986.23,988.48,991.63,985.96,105900704
2012-11-28,993.12,986.23,993.25,975.89,111406944
2012-11-29,999.77,993.31,1000.42,993.31,101818992
2012-11-30,1000.15,999.77,1000.69,996.21,197299200
2012-12-03,997.15,1000.2,1005.38,995.12,95224912
2012-12-04,997.68,996.92,999.61,992.69,94985976
2012-12-05,999.61,997.7,1002.44,991.92,110245360
2012-12-06,1001.61,999.61,1002.89,997.67,87291840
2012-12-07,1002.71,1001.67,1004.02,999.47,83714800
2012-12-10,1007.62,1002.7,1008.48,1002.01,86340176
2012-12-11,1012.94,1007.62,1014.71,1007.62,92738240
2012-12-12,1010.66,1012.94,1017.25,1009.36,93919016
2012-12-13,1003.86,1010.66,1012.98,1001.98,98566240
2012-12-14,1001.53,1003.82,1005.3,1000.82,83808920
2012-12-17,1011.13,1001.56,1011.14,1001.56,98967544
2012-12-18,1025.25,1011.15,1025.35,1011.15,106924208
2012-12-19,1023.39,1025.25,1028.34,1023.39,102974304
2012-12-20,1030.15,1023.39,1030.17,1022.27,102453296
2012-12-21,1022.36,1026.26,1026.26,1017.46,328782976
2012-12-24,1020.35,1022.36,1022.36,1018.02,38217984
2012-12-25,1020.35,1022.36,1022.36,1018.02,38217984
2012-12-26,1011.93,1020.35,1021.84,1011.77,63624064
2012-12-27,1011.51,1011.93,1014.3,1001.21,77181784
2012-12-28,1004.33,1011.51,1011.51,1004.07,69157080
2012-12-31,1020.43,1004.33,1021.18,1001.98,95116736
2013-01-01,1020.43,1004.33,1021.18,1001.98,95116736
2013-01-02,1046.32,1020.43,1046.42,1020.43,125288976
2013-01-03,1048.21,1046.32,1053.91,1045.71,98154608
2013-01-04,1056.07,1048.21,1056.76,1048,96147136
2013-01-07,1053.25,1055.97,1055.97,1050.58,87101384
2013-01-08,1050.41,1053.25,1053.54,1046.72,103024080
2013-01-09,1056.45,1050.41,1056.84,1050.41,88730984
2013-01-10,1058.01,1059.02,1060.15,1053.12,108287784
2013-01-11,1057.91,1058.01,1058.97,1053.91,90641816
2013-01-14,1059.15,1057.9,1060.5,1055.93,82123696
2013-01-15,1064.65,1056.47,1064.8,1054.22,85112224
2013-01-16,1062.13,1064.64,1064.64,1059.57,80107184
2013-01-17,1071.07,1062.14,1072.59,1062.14,88681328
2013-01-18,1073.93,1070.81,1073.93,1067.98,102028408
2013-01-21,1073.93,1070.81,1073.93,1067.98,102028408
2013-01-22,1081.97,1073.93,1081.97,1073.48,93837784
2013-01-23,1082.24,1082.17,1083.6,1080.19,102874968
2013-01-24,1087.06,1082.24,1091.03,1081.75,104567320
2013-01-25,1096.7,1089.73,1096.7,1089.32,102375952
2013-01-28,1094.99,1096.7,1097.42,1090.54,92072880
2013-01-29,1095.35,1094.99,1095.46,1090.65,111921896
2013-01-30,1089.07,1095.35,1095.95,1087.48,105207872
2013-01-31,1093.4,1089.07,1095.09,1087.75,142569616
2013-02-01,1101.59,1093.4,1103.54,1093.4,113220944
2013-02-04,1091.27,1101.59,1101.59,1089.12,100378960
2013-02-05,1099.3,1091.27,1101.08,1091.27,103134432
2013-02-06,1104.32,1095.61,1104.33,1095.56,96179744
2013-02-07,1102.62,1104.51,1105.51,1095.58,107624312
2013-02-08,1109.09,1102.62,1109.1,1102.62,87610744
2013-02-11,1107.05,1109.09,1109.18,1104.7,79336584
2013-02-12,1111.72,1107.05,1112.41,1107.01,96114520
2013-02-13,1114.61,1112.75,1115.7,1110.09,116330432
2013-02-14,1117.12,1114.61,1118.18,1111.9,92354416
2013-02-15,1115.75,1117.09,1119.19,1113.55,98787856
2013-02-18,1115.75,1117.09,1119.19,1113.55,98787856
2013-02-19,1123.74,1115.78,1123.74,1115.78,111529360
2013-02-20,1104.1,1123.73,1123.73,1104.04,131474424
2013-02-21,1093.27,1104.1,1104.1,1088.48,131267728
2013-02-22,1103.7,1093.28,1103.7,1093.28,93237280
2013-02-25,1081.68,1107.26,1108.41,1081.68,110852024
2013-02-26,1088.15,1081.68,1089.69,1078.65,115550232
2013-02-27,1103.57,1087.74,1106.83,1087.65,100471872
2013-02-28,1102.64,1103.57,1110.3,1102.28,156085344
2013-03-01,1098.15,1102.64,1102.64,1085.99,150060672
2013-03-04,1101.96,1098.15,1102.09,1092.17,109095040
2013-03-05,1116.67,1101.96,1117.41,1101.96,102034784
2013-03-06,1118.67,1116.67,1121.6,1116.22,93741552
2013-03-07,1121.49,1118.67,1122.49,1118.67,89270936
2013-03-08,1131.25,1121.76,1131.53,1121.19,93077464
2013-03-11,1132.26,1131.25,1132.27,1127.32,86573408
