Dates,BCOMTR Index_Last,BCOMTR Index_Open,BCOMTR Index_High,BCOMTR Index_Low
1994-11-08,110.927,110.927,110.927,110.927
1994-11-09,110.087,110.087,110.087,110.087
1994-11-10,110.227,110.227,110.227,110.227
1994-11-11,110.227,110.227,110.227,110.227
1994-11-14,109.665,109.665,109.665,109.665
1994-11-15,109.893,109.893,109.893,109.893
1994-11-16,109.715,109.715,109.715,109.715
1994-11-17,109.97,109.97,109.97,109.97
1994-11-18,109.944,109.944,109.944,109.944
1994-11-21,109.674,109.674,109.674,109.674
1994-11-22,110.039,110.039,110.039,110.039
1994-11-23,110.147,110.147,110.147,110.147
1994-11-24,110.147,110.147,110.147,110.147
1994-11-25,110.087,110.087,110.087,110.087
1994-11-28,109.919,109.919,109.919,109.919
1994-11-29,109.755,109.755,109.755,109.755
1994-11-30,109.66,109.66,109.66,109.66
1994-12-01,109.449,109.449,109.449,109.449
1994-12-02,108.334,108.334,108.334,108.334
1994-12-05,107.819,107.819,107.819,107.819
1994-12-06,107.884,107.884,107.884,107.884
1994-12-07,108.185,108.185,108.185,108.185
1994-12-08,109.507,109.507,109.507,109.507
1994-12-09,109.427,109.427,109.427,109.427
1994-12-12,109.044,109.044,109.044,109.044
1994-12-13,108.096,108.096,108.096,108.096
1994-12-14,108.528,108.528,108.528,108.528
1994-12-15,109.124,109.124,109.124,109.124
1994-12-16,109.545,109.545,109.545,109.545
1994-12-19,108.907,108.907,108.907,108.907
1994-12-20,109.333,109.333,109.333,109.333
1994-12-21,110.052,110.052,110.052,110.052
1994-12-22,110.336,110.336,110.336,110.336
1994-12-23,110.635,110.635,110.635,110.635
1994-12-26,110.635,110.635,110.635,110.635
1994-12-27,112.056,112.056,112.056,112.056
1994-12-28,112.781,112.781,112.781,112.781
1994-12-29,112.609,112.609,112.609,112.609
1994-12-30,112.755,112.755,112.755,112.755
1995-01-02,112.755,112.755,112.755,112.755
1995-01-03,111.599,111.599,111.599,111.599
1995-01-04,111.22,111.22,111.22,111.22
1995-01-05,112.088,112.088,112.088,112.088
1995-01-06,111.908,111.908,111.908,111.908
1995-01-09,111.494,111.494,111.494,111.494
1995-01-10,111.511,111.511,111.511,111.511
1995-01-11,111.772,111.772,111.772,111.772
1995-01-12,112.117,112.117,112.117,112.117
1995-01-13,111.225,111.225,111.225,111.225
1995-01-16,111.225,111.225,111.225,111.225
1995-01-17,113.396,113.396,113.396,113.396
1995-01-18,113.941,113.941,113.941,113.941
1995-01-19,113.889,113.889,113.889,113.889
1995-01-20,114.19,114.19,114.19,114.19
1995-01-23,113.28,113.28,113.28,113.28
1995-01-24,113.671,113.671,113.671,113.671
1995-01-25,113.036,113.036,113.036,113.036
1995-01-26,113.133,113.133,113.133,113.133
1995-01-27,112.265,112.265,112.265,112.265
1995-01-30,112.068,112.068,112.068,112.068
1995-01-31,112.109,112.109,112.109,112.109
1995-02-01,111.859,111.859,111.859,111.859
1995-02-02,112.566,112.566,112.566,112.566
1995-02-03,112.581,112.581,112.581,112.581
1995-02-06,112.326,112.326,112.326,112.326
1995-02-07,111.166,111.166,111.166,111.166
1995-02-08,110.537,110.537,110.537,110.537
1995-02-09,111.347,111.347,111.347,111.347
1995-02-10,111.99,111.99,111.99,111.99
1995-02-13,111.323,111.323,111.323,111.323
1995-02-14,111.775,111.775,111.775,111.775
1995-02-15,111.627,111.627,111.627,111.627
1995-02-16,111.988,111.988,111.988,111.988
1995-02-17,112.491,112.491,112.491,112.491
