Dates,BCOM Index_Last,BCOM Index_Open,BCOM Index_High,BCOM Index_Low
1999-11-17,92.1814,92.1814,92.1814,92.1814
1999-11-18,90.9206,90.9206,90.9206,90.9206
1999-11-19,91.8683,91.8683,91.8683,91.8683
1999-11-22,92.6951,92.6951,92.6951,92.6951
1999-11-23,92.2349,92.2349,92.2349,92.2349
1999-11-24,92.6136,92.6136,92.6136,92.6136
1999-11-25,92.6136,92.6136,92.6136,92.6136
1999-11-26,92.6136,92.6136,92.6136,92.6136
1999-11-29,91.5182,91.5182,91.5182,91.5182
1999-11-30,90.0884,90.0884,90.0884,90.0884
1999-12-01,90.3577,90.3577,90.3577,90.3577
1999-12-02,91.2038,91.2038,91.2038,91.2038
1999-12-03,91.0371,91.0371,91.0371,91.0371
1999-12-06,91.7648,91.7648,91.7648,91.7648
1999-12-07,91.3754,91.3754,91.3754,91.3754
1999-12-08,91.4954,91.4954,91.4954,91.4954
1999-12-09,90.4897,90.4897,90.4897,90.4897
1999-12-10,89.7247,89.7247,89.7247,89.7247
1999-12-13,89.9464,89.9464,89.9464,89.9464
1999-12-14,90.7888,90.7888,90.7888,90.7888
1999-12-15,91.6619,91.6619,91.6619,91.6619
1999-12-16,92.6074,92.6074,92.6074,92.6074
1999-12-17,92.8952,92.8952,92.8952,92.8952
1999-12-20,92.9869,92.9869,92.9869,92.9869
1999-12-21,92.4794,92.4794,92.4794,92.4794
1999-12-22,92.137,92.137,92.137,92.137
1999-12-23,92.4773,92.4773,92.4773,92.4773
1999-12-24,92.4773,92.4773,92.4773,92.4773
1999-12-27,92.6515,92.6515,92.6515,92.6515
1999-12-28,93.1537,93.1537,93.1537,93.1537
1999-12-29,93.1097,93.1097,93.1097,93.1097
1999-12-30,92.2732,92.2732,92.2732,92.2732
1999-12-31,92.2732,92.2732,92.2732,92.2732
2000-01-03,92.0451,92.0451,92.0451,92.0451
2000-01-04,91.4952,91.4952,91.4952,91.4952
2000-01-05,91.0023,91.0023,91.0023,91.0023
2000-01-06,91.04,91.04,91.04,91.04
2000-01-07,90.7495,90.7495,90.7495,90.7495
2000-01-10,90.99,90.99,90.99,90.99
2000-01-11,92.048,92.048,92.048,92.048
2000-01-12,93.1605,93.1605,93.1605,93.1605
2000-01-13,93.7982,93.7982,93.7982,93.7982
2000-01-14,95.2123,95.2123,95.2123,95.2123
2000-01-17,95.2123,95.2123,95.2123,95.2123
2000-01-18,96.4478,96.4478,96.4478,96.4478
2000-01-19,97.1845,97.1845,97.1845,97.1845
2000-01-20,97.6501,97.6501,97.6501,97.6501
2000-01-21,97.4665,97.4665,97.4665,97.4665
2000-01-24,97.0482,97.0482,97.0482,97.0482
2000-01-25,97.6311,97.6311,97.6311,97.6311
2000-01-26,96.845,96.845,96.845,96.845
2000-01-27,96.9539,96.9539,96.9539,96.9539
2000-01-28,96.5136,96.5136,96.5136,96.5136
2000-01-31,96.8149,96.8149,96.8149,96.8149
2000-02-01,97.5493,97.5493,97.5493,97.5493
2000-02-02,96.7944,96.7944,96.7944,96.7944
2000-02-03,97.1337,97.1337,97.1337,97.1337
2000-02-04,98.9671,98.9671,98.9671,98.9671
2000-02-07,97.6739,97.6739,97.6739,97.6739
2000-02-08,96.4312,96.4312,96.4312,96.4312
2000-02-09,97.654,97.654,97.654,97.654
2000-02-10,99.3157,99.3157,99.3157,99.3157
2000-02-11,98.7966,98.7966,98.7966,98.7966
2000-02-14,98.897,98.897,98.897,98.897
2000-02-15,98.462,98.462,98.462,98.462
2000-02-16,98.7213,98.7213,98.7213,98.7213
2000-02-17,98.3866,98.3866,98.3866,98.3866
2000-02-18,98.3643,98.3643,98.3643,98.3643
2000-02-21,98.3643,98.3643,98.3643,98.3643
2000-02-22,98.3868,98.3868,98.3868,98.3868
2000-02-23,97.9666,97.9666,97.9666,97.9666
2000-02-24,98.2599,98.2599,98.2599,98.2599
2000-02-25,97.6421,97.6421,97.6421,97.6421
2000-02-28,97.3192,97.3192,97.3192,97.3192
2000-02-29,98.0632,98.0632,98.0632,98.0632
2000-03-01,99.838,99.838,99.838,99.838
2000-03-02,99.7028,99.7028,99.7028,99.7028
2000-03-03,100.082,100.082,100.082,100.082
2000-03-06,100.9356,100.9356,100.9356,100.9356
2000-03-07,102.248,102.248,102.248,102.248
2000-03-08,99.4584,99.4584,99.4584,99.4584
2000-03-09,100.5315,100.5315,100.5315,100.5315
2000-03-10,100.0217,100.0217,100.0217,100.0217
2000-03-13,100.7418,100.7418,100.7418,100.7418
2000-03-14,100.7389,100.7389,100.7389,100.7389
2000-03-15,100.0657,100.0657,100.0657,100.0657
2000-03-16,100.3194,100.3194,100.3194,100.3194
2000-03-17,100.4624,100.4624,100.4624,100.4624
2000-03-20,98.1331,98.1331,98.1331,98.1331
2000-03-21,98.5765,98.5765,98.5765,98.5765
2000-03-22,98.5118,98.5118,98.5118,98.5118
2000-03-23,98.1065,98.1065,98.1065,98.1065
2000-03-24,98.7299,98.7299,98.7299,98.7299
2000-03-27,98.6476,98.6476,98.6476,98.6476
2000-03-28,98.0575,98.0575,98.0575,98.0575
2000-03-29,97.0046,97.0046,97.0046,97.0046
2000-03-30,97.5567,97.5567,97.5567,97.5567
2000-03-31,98.5238,98.5238,98.5238,98.5238
2000-04-03,97.6773,97.6773,97.6773,97.6773
2000-04-04,96.145,96.145,96.145,96.145
2000-04-05,96.7044,96.7044,96.7044,96.7044
2000-04-06,95.9536,95.9536,95.9536,95.9536
2000-04-07,95.7411,95.7411,95.7411,95.7411
2000-04-10,94.6463,94.6463,94.6463,94.6463
2000-04-11,94.6278,94.6278,94.6278,94.6278
2000-04-12,96.3874,96.3874,96.3874,96.3874
2000-04-13,96.6937,96.6937,96.6937,96.6937
2000-04-14,95.8689,95.8689,95.8689,95.8689
2000-04-17,96.1503,96.1503,96.1503,96.1503
2000-04-18,96.5329,96.5329,96.5329,96.5329
2000-04-19,97.5554,97.5554,97.5554,97.5554
2000-04-20,97.4023,97.4023,97.4023,97.4023
2000-04-21,97.4023,97.4023,97.4023,97.4023
2000-04-24,97.6826,97.6826,97.6826,97.6826
2000-04-25,97.539,97.539,97.539,97.539
2000-04-26,96.7391,96.7391,96.7391,96.7391
2000-04-27,96.7483,96.7483,96.7483,96.7483
2000-04-28,96.8817,96.8817,96.8817,96.8817
2000-05-01,98.5183,98.5183,98.5183,98.5183
2000-05-02,99.7773,99.7773,99.7773,99.7773
2000-05-03,99.4225,99.4225,99.4225,99.4225
2000-05-04,99.8853,99.8853,99.8853,99.8853
